id,target
1,0
2,0
5,0
6,0
7,0
11,0
12,0
14,0
16,0
18,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
28,0
30,0
31,0
32,0
34,0
35,0
36,0
37,0
39,0
40,0
41,0
42,0
43,0
45,0
46,0
47,0
49,0
50,0
51,1
52,1
53,1
54,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
68,1
70,1
71,1
73,1
74,1
75,1
77,1
78,1
80,1
81,1
82,1
83,1
85,1
86,1
87,1
89,1
90,1
92,1
93,1
94,1
96,1
97,1
99,1
100,1
101,2
102,2
103,2
105,2
106,2
108,2
110,2
111,2
112,2
113,2
115,2
116,2
119,2
120,2
121,2
123,2
126,2
127,2
129,2
130,2
131,2
133,2
134,2
135,2
137,2
139,2
140,2
142,2
144,2
145,2
146,2
148,2
149,2
