##Analysis Done Using ClassificaIO on 2017-12-26

##Dependent Data File:
##/Users/raeufroushangar/Desktop/ClassificaIO/Paper/Iris_DataSet/Iris_Dependent_DataSet.csv
##Target Data File:
##/Users/raeufroushangar/Desktop/ClassificaIO/Paper/Iris_DataSet/Iris_Target.csv

##PARAMETERS: 
##random_state = None
##shuffle = True
##penalty = l2
##multi_class = ovr
##solver = liblinear
##max_iter= 100
##tol = 0.0001
##intercept_scaling = 1.0
##verbose = 0
##n_jobs = 1
##C = 1.0
##fit_intercept = True
##dual = False
##warm_start = False
##class_weight = None

"##Confusion Matrix, Model Accuracy & Error:"
##		Predicted Class
##True 	0	1	2	
##Class 	---	---	---	
##0 || 		9	0	0	
##1 || 		0	9	1	
##2 || 		0	0	8	
##
##Classification Accuracy:  96.3 %
##Classification Error (MR):  3.7 %

##Total objects predicted: 27
96,1,1
2,0,0
81,1,1
145,2,2
100,1,1
47,0,0
92,1,1
50,0,0
110,2,2
140,2,2
53,1,1
105,2,2
127,2,2
60,1,1
46,0,0
41,0,0
51,1,1
115,2,2
73,1,2
6,0,0
89,1,1
26,0,0
108,2,2
65,1,1
42,0,0
23,0,0
149,2,2
